"key","en","ar"
"products.addToRfq","Add to RFQ","إضافة لطلب السعر"
"products.all","All","الكل"
"products.compound","Compound","مركب"
"products.compounds","Compounds","مركبات"
"products.error","Failed to load products","فشل تحميل المنتجات"
"products.errorDescription","Please try again later","يرجى المحاولة لاحقاً"
"products.errorTitle","Error Loading Products","خطأ في تحميل المنتجات"
"products.featured","","منتجات مميزة"
"products.filter","Filter","تصفية"
"products.filters.allCategories","All Categories","كل الفئات"
"products.filters.category","Category","الفئة"
"products.filters.inStockOnly","In Stock Only","المتوفر فقط"
"products.filters.recycledOnly","Recycled Only","المُعاد تدويره فقط"
"products.filters.title","Filters","المرشحات"
"products.heroSubtitle","Find recycled and virgin polymers with full traceability and data sheets.","اعثر على بوليمرات مُعاد تدويرها وأصلية مع تتبع كامل وأوراق بيانات."
"products.heroTitle","Product Catalog","كتالوج المنتجات"
"products.labels.applications","Applications","الاستخدامات"
"products.labels.category","Category","الفئة"
"products.labels.color","Color","اللون"
"products.labels.grade","Grade","الدرجة"
"products.labels.inStock","In Stock","متوفر"
"products.labels.mfi","MFI","مؤشر تدفق الذوبان"
"products.labels.origin","Origin","المنشأ"
"products.labels.outOfStock","Out of Stock","غير متوفر"
"products.labels.price","Price","السعر"
"products.labels.recycledContent","Recycled Content","محتوى مُعاد تدويره"
"products.loading","Loading products...","جارِ تحميل المنتجات..."
"products.masterbatch","Masterbatch","ماستر باتش"
"products.noResultsDescription","Try adjusting your filters or search query","جرّب تعديل عوامل التصفية أو البحث"
"products.noResultsTitle","No products found","لا توجد منتجات"
"products.pcr","PCR","ما بعد الاستهلاك"
"products.recycled","Recycled","مُعاد تدويره"
"products.retry","Try again","حاول مرة أخرى"
"products.rfq.added","Added to RFQ","تمت الإضافة لسلة الطلب"
"products.rfq.addedDescription","{{name}} has been added to your quote request.","تمت إضافة {{name}} إلى طلب عرض السعر."
"products.search","Search products...","ابحث في المنتجات..."
"products.searchPlaceholder","Search by product name or grade...","ابحث باسم المنتج أو الدرجة..."
"products.subtitle","Browse our catalog of recycled and virgin polymers","تصفح كتالوج البوليمرات المُعاد تدويرها والأصلية"
"products.title","Polymer Products","المنتجات"
"products.viewDetails","View Details","عرض التفاصيل"
"products.virgin","Virgin","أصلي"
"resourcesPage.breadcrumb.home","Home","الرئيسية"
"resourcesPage.breadcrumb.resources","Resources","الموارد"
"resourcesPage.empty.subtitle","Try adjusting your search query","جرّب تعديل عبارة البحث"
"resourcesPage.empty.title","No documents found","لم يتم العثور على مستندات"
"resourcesPage.help.cta","Contact Technical Support","تواصل مع الدعم الفني"
"resourcesPage.help.description","Can't find what you're looking for? We can provide:","إذا لم تجد ما تبحث عنه، يمكننا توفير:"
"resourcesPage.help.items","Batch-specific Certificates of Analysis (COA) | Regulatory compliance certificates (FDA, REACH, RoHS) | Material passports with full traceability | Custom testing reports | Processing guidelines for specific applications","شهادات تحليل خاصة بكل دفعة (COA) | شهادات التوافق التنظيمي (FDA، REACH، RoHS) | جوازات مواد مع تتبع كامل | تقارير اختبار مخصصة | إرشادات معالجة لتطبيقات محددة"
"resourcesPage.help.title","Need a Specific Document?","تحتاج مستندًا محددًا؟"
"resourcesPage.hero.subtitle","Access technical data sheets (TDS), safety data sheets (SDS), and certificates of analysis (COA) for all our products. All documents are regularly updated and compliant with international standards.","الوصول إلى أوراق البيانات الفنية TDS وأوراق بيانات السلامة SDS وشهادات التحليل COA لكل منتجاتنا. يتم تحديث جميع المستندات بانتظام ومتوافقة مع المعايير الدولية."
"resourcesPage.hero.title","Technical Resources","الموارد التقنية"
"resourcesPage.list.count","Showing {{count}} documents","عرض {{count}} مستندات"
"resourcesPage.list.download","Download PDF","تحميل PDF"
"resourcesPage.list.updated","Updated: {{date}}","تم التحديث: {{date}}"
"resourcesPage.search.placeholder","Search by product name, grade, or document type...","ابحث باسم المنتج أو الدرجة أو نوع المستند..."
"resourcesPage.seo.description","Download technical data sheets (TDS), safety data sheets (SDS), and certificates of analysis for recycled and virgin polymers. ISO compliant documentation for HDPE, LDPE, PP materials.","حمّل أوراق البيانات الفنية (TDS)، وأوراق بيانات السلامة (SDS)، وشهادات التحليل للبوليمرات البكر والمعاد تدويرها. وثائق متوافقة مع المعايير الدولية لـ HDPE وLDPE وPP."
"resourcesPage.seo.keywords","polymer TDS download, polymer SDS, technical data sheet polymer, safety data sheet plastic, material certification, HDPE datasheet, LDPE specifications","تحميل TDS البوليمر، SDS البوليمر، ورقة بيانات فنية للبلاستيك، شهادة تحليل، مواصفات HDPE، مواصفات LDPE"
"resourcesPage.seo.title","Technical Resources - TDS, SDS & Polymer Documentation","الموارد التقنية - TDS، SDS ووثائق البوليمرات"
"resourcesPage.types.coa","COA","COA"
"resourcesPage.types.descriptions.coa","Certificates of Analysis for batch-specific quality verification","شهادات تحليل للتحقق من جودة الدُفعات"
"resourcesPage.types.descriptions.sds","Safety Data Sheets with handling, storage, and emergency information","أوراق بيانات سلامة تشمل معلومات التعامل والتخزين والطوارئ"
"resourcesPage.types.descriptions.tds","Technical Data Sheets with complete physical and mechanical properties","أوراق بيانات فنية تتضمن الخصائص الفيزيائية والميكانيكية الكاملة"
"resourcesPage.types.labels.coa","COA","شهادة تحليل"
"resourcesPage.types.labels.sds","SDS","ورقة بيانات سلامة"
"resourcesPage.types.labels.tds","TDS","ورقة بيانات فنية"
"resourcesPage.types.sds","SDS","SDS"
"resourcesPage.types.tds","TDS","TDS"
"seo.home.description","PolySource Global - Dubai's leading B2B polymer supplier. Technical-grade recycled PE, PP, rPET and virgin polymers. Serving 18+ countries with batch traceability and 48hr quote turnaround.","بوليسورس جلوبال - المورد الرائد للبوليمر B2B في دبي. بوليمرات معاد تدويرها من الدرجة التقنية PE، PP، rPET وبوليمرات بكر. نخدم أكثر من 18 دولة مع تتبع دفعات دقيق واستجابة لعروض الأسعار خلال 48 ساعة."
"seo.home.title","Recycled Polymer Supplier Dubai | Virgin PE, PP, HDPE Materials","مورد البوليمر المُعاد تدويره دبي | مواد PE، PP، HDPE البكر"
"seo.organizationDescription","Dubai-based polymer supplier specializing in recycled and virgin polymers with global shipping","مورد بوليمرات في دبي متخصص في البوليمرات المعاد تدويرها والبكر مع شحن عالمي"
"stats.countriesServed","Countries Served","دولة يتم خدمتها"
"stats.quoteTurnaround","Quote Turnaround","مدة الرد على طلبات الأسعار"
"stats.recycledContent","Recycled Content Available","محتوى مُعاد تدويره متاح"
"stats.tonnesDelivered","Tonnes Delivered Annually","طن يتم تسليمها سنوياً"
"sustainability.badge","Sustainability","الاستدامة"
"sustainability.learnMore","Learn About Our Approach","تعرف على نهجنا"
"sustainability.points.co2","CO₂ footprint data available per shipment","بيانات البصمة الكربونية CO₂ متاحة لكل شحنة"
"sustainability.points.iso","ISO 14001 certified supply chain partners","شركاء سلسلة التوريد معتمدون بشهادة ISO 14001"
"sustainability.points.pcr","Post-consumer and post-industrial recycled content available","محتوى مُعاد تدويره من المستهلك وما بعد الصناعة متاح"
"sustainability.subtitle","We prioritize recycled polymers not as a marketing gimmick, but as a technical solution. Every batch comes with traceable sourcing data and third-party certifications.","نعطي الأولوية للبوليمرات المُعاد تدويرها ليس كحيلة تسويقية، بل كحل تقني. كل دفعة تأتي مع بيانات توريد قابلة للتتبع وشهادات من طرف ثالث."
"sustainability.title","Recycled-First. Traceable. Certified.","التزامنا بالاستدامة"
"sustainabilityPage.badge","Sustainability","الاستدامة"
"sustainabilityPage.certificationsTitle","Certifications & Compliance","الشهادات والامتثال"
"sustainabilityPage.description","Discover PolySource Global's recycled-first approach. 6,200+ tonnes of traceable recycled polymers supplied with ISO 14001 certified partners.","اكتشف نهجنا المعتمد على إعادة التدوير أولاً. أكثر من 6,200 طن من البوليمرات المُعاد تدويرها مع تتبع كامل وسلسلة توريد معتمدة."
"sustainabilityPage.heroSubtitle","Building a circular supply chain for polymers without compromising quality.","نبني سلسلة توريد دائرية للبوليمرات دون التنازل عن الجودة."
"sustainabilityPage.heroTitle","Recycled-First. Performance Always.","إعادة التدوير أولاً. الأداء دائماً."
"sustainabilityPage.impactList","6,200+ tonnes of recycled polymers supplied with traceability | 18+ countries served with certified supply chains | CO₂ footprint data available per shipment","أكثر من 6,200 طن من البوليمرات المُعاد تدويرها مع تتبع كامل | خدمة أكثر من 18 دولة بسلاسل توريد معتمدة | بيانات البصمة الكربونية متاحة لكل شحنة"
"sustainabilityPage.impactTitle","Measured Impact","أثرنا الملموس"
"sustainabilityPage.principles.certified.description","We work exclusively with ISO 14001 certified recyclers and processors.","نعمل حصرياً مع معالجات ومعيدي تدوير حاصلين على ISO 14001."
"sustainabilityPage.principles.certified.title","Certified Partners","شركاء معتمدون"
"sustainabilityPage.principles.quality.description","We only call something sustainable when it performs in production.","لا نطلق على المنتج مستداماً إلا إذا أدى أداءً فعلياً في الإنتاج."
